"Edit","Paste","Ctrl+Y","In Dialogs and Windows"
"Text Editing","Previous Word","Ctrl+I","Editing Text"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Window","Previous Perspective","Shift+Ctrl+F8","In Windows"
"Navigate","Open Type Hierarchy","F4","C/C++ Editor"
"PyDev - Editor","Offline Action for scripting","Ctrl+2","PyDev editor scope"
"Focused UI","Make Less Interesting","Shift+Ctrl+Alt+Down","In Windows"
"File","Close","Ctrl+F4","In Windows"
"File","Print","Ctrl+P","In Windows"
"Git","Commit...","Ctrl+#","In Windows"
"Source","Open Declaration","F3","In Macro Expansion Hover"
"PyDev - Run","Relaunch last pydev launch","Shift+Ctrl+F9","PyDev editor scope"
"Window","Show System Menu","Alt+-","In Windows"
"Window","Switch to Editor","Shift+Ctrl+E","In Windows"
"Task Repositories","Mark Task Incomplete","Shift+Alt+I","In Tasks View"
"PyDev - Editor","Python Collapse All","Ctrl+Numpad_Divide","PyDev editor scope"
"Source","Toggle Comment","Ctrl+/","SystemTap Editor"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Text Editing","Scroll Line Up","Alt+Z","Editing Text"
"Source","Toggle Source/Header","Ctrl+Tab","C/C++ Editor"
"Edit","Incremental Find Reverse","Ctrl+R","Editing Text"
"Text Editing","Line End","Ctrl+E","Editing Text"
"Navigate","Go to Line","Ctrl+L","Editing Text"
"PyDev - Editor","Go to Matching Bracket","Shift+Ctrl+P","PyDev editor scope"
"UML2 Sequence Diagram Viewer Commands","Go to associated message","Alt+R","UML2 Sequence Diagram Viewer"
"Text Editing","Text Start","Shift+Alt+<","Editing Text"
"Task Repositories","Mark Task Read and Go To Next Unread Task","Shift+Alt+Down","In Tasks View"
"Text Editing","Cut to Beginning of Line","Esc 0 Ctrl+K","Editing Text"
"Changelog","Prepare Commit","Ctrl+Alt+V","Editing Text"
"File","Close All","Shift+Ctrl+W","In Windows"
"pepticcategory","Rename...","Shift+Alt+R","PyDev editor scope"
"Run/Debug","Step Into","F5","Debugging"
"Navigate","Previous","Ctrl+,","In Windows"
"PyDev - Editor","Toggle Mark Occurrences","Shift+Alt+O","PyDev editor scope"
"Editor Commands","Toggle Comment","Shift+Ctrl+C","Specfile Editor Context"
"PyDev - Run","Debug editor with current interpreter","Shift+F9","PyDev editor scope"
"Source","Add Include","Shift+Ctrl+N","C/C++ Editor"
"Edit","Find Next","Ctrl+K","Editing Text"
"PyDev - Run","Set Next Statement","Ctrl+Alt+R","In Windows"
"PyDev - Editor","Python Un Collapse All","Ctrl+Numpad_Multiply","PyDev editor scope"
"Task Repositories","Mark Task Complete","Shift+Alt+C","In Tasks View"
"PyDev - Editor","Python Un Collapse","Ctrl+Numpad_Add","PyDev editor scope"
"Text Editing","Page Down","Ctrl+V","Editing Text"
"Navigate","Open Resource","Shift+Ctrl+R","In Windows"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"PyDev - Editor","Execute line in console","F2","PyDev editor scope"
"Source","Explore Macro Expansion","Ctrl+=","C/C++ Editor"
"Source","Declaration","Ctrl+G","C/C++ Editor"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In C/C++ Views"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"File","Refresh","F5","In Windows"
"Edit","Redo","Shift+Ctrl+Z","In Dialogs and Windows"
"pepticcategory","Extract Local Variable...","Shift+Alt+L","PyDev editor scope"
"Run/Debug","Step Over","F6","Debugging"
"Window","Show Contributing Plug-in","Shift+Alt+F3","In Dialogs and Windows"
"Run/Debug","Go to Program Counter","Home","In Disassembly"
"Edit","Select All","Ctrl+A","In Dialogs and Windows"
"Edit","Incremental Find Reverse","Shift+Ctrl+J","Editing Text"
"Text Editing","Delete to End of Line","Shift+Ctrl+Delete","Editing Text"
"Window","Next View","Ctrl+F7","In Windows"
"Task Editor","Maximize Part","Shift+Ctrl+M","In Tasks Editor"
"Source","Open Element","Shift+Ctrl+T","In C/C++ Views"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"Source","Toggle Mark Occurrences","Shift+Alt+O","C/C++ Editor"
"Task Editor","Submit Task","Shift+Alt+S","In Tasks Editor"
"pepticcategory","Generate Properties...","Shift+Alt+T P","PyDev editor scope"
"Views","Show View (Breakpoints)","Shift+Alt+Q B","In Windows"
"Editor Commands","Prepare Sources","Shift+Ctrl+R P","Specfile Editor Context"
"Text Editing","Collapse All","Shift+Ctrl+Numpad_Divide","Editing Text"
"Text Editing","Delete Next Word","Alt+D","Editing Text"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"Text Editing","Text End","Esc Shift+>","Editing Text"
"Edit","Redo","Shift+Ctrl++","In Windows"
"PyDev - Editor","Python Show Global Tokens (Editor)","Shift+Ctrl+T","PyDev editor scope"
"Task Repositories","Mark Task Incomplete","Shift+Alt+I","In Tasks Editor"
"Makefile Source","Open declaration","F3","Makefile Editor"
"Run/Debug","Next Page of Memory","Shift+Ctrl+.","In Table Memory Rendering"
"Edit","Select Next C/C++ Element","Shift+Alt+Right","C/C++ Editor"
"Edit","Undo","Shift+Ctrl+-","In Windows"
"Source","Remove Block Comment","Shift+Ctrl+\","C/C++ Editor"
"PyDev - Editor","Interactive Console","Ctrl+Alt+Enter","PyDev editor scope"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","In C/C++ Views"
"Project","Build All","Ctrl+B","In Windows"
"Navigate","Open Type Hierarchy","F4","In C/C++ Views"
"Uncategorized","Copy SHA-1","Ctrl+C","In Git Reflog View"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text"
"Task Repositories","Mark Task Unread","Shift+Alt+U","In Tasks View"
"Text Editing","Line Start","Home","Editing Text"
"Window","Quick Access","Ctrl+3","In Windows"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows"
"Focused UI","Show Context Quick View","Shift+Ctrl+Alt+Right","In Windows"
"Source","Show outline","Ctrl+O","C/C++ Editor"
"Makefile Source","Comment","Ctrl+/","Makefile Editor"
"Views","Show View (Task List)","Shift+Alt+Q K","In Windows"
"PyDev - Editor","Python Uncomment","Shift+Ctrl+3","PyDev editor scope"
"Text Editing","Text Start","Alt+<","Editing Text"
"Edit","Find and Replace","Alt+R","In Windows"
"Uncategorized","Show Markup Cheat Sheet","F1","WikiText Markup Source Context"
"Text Editing","Delete Next Word","Alt+Delete","Editing Text"
"PyDev - Editor","Python Show Outline","Ctrl+O","PyDev editor scope"
"Edit","Context Information","Shift+Ctrl+Space","In Dialogs and Windows"
"Edit","Copy","Esc W","In Dialogs and Windows"
"Navigate","Quick Outline","Ctrl+O","WikiText Markup Source Context"
"Text Editing","Text End","Ctrl+X ]","Editing Text"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","C/C++ Editor"
"File","Save All","Shift+Ctrl+S","In Windows"
"Edit","Find Previous","Shift+Ctrl+K","Editing Text"
"Navigate","Expand All","Shift+Ctrl+Numpad_Multiply","In Windows"
"Navigate","Deactivate Task","Shift+Ctrl+F9","In Windows"
"Views","Show View (Synchronize)","Shift+Alt+Q Y","In Windows"
"Window","Quick Switch Editor","Ctrl+X B","In Windows"
"Reverse Debugging Commands","Uncall","Shift+F7","Debugging C/C++"
"Text Editing","Text End","Esc >","Editing Text"
"Run/Debug","Run to Line","Ctrl+R","Debugging"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"Run/Debug","EOF","Ctrl+D","In I/O Console"
"Run/Debug","Debug","F11","In Windows"
"Git","Copy Path to Clipboard","Ctrl+C","In Git Repositories View"
"Text Editing","Select Line End","Shift+End","Editing Text"
"Task Repositories","Mark Task Complete","Shift+Alt+C","In Tasks Editor"
"Text Editing","Clear Mark","Ctrl+G","Editing Text"
"Navigate","Activate Task","Ctrl+F9","In Windows"
"Edit","Select Enclosing C/C++ Element","Shift+Alt+Up","C/C++ Editor"
"Task Repositories","Quick Outline","Ctrl+O","In Tasks Editor"
"Source","References","Shift+Ctrl+G","C/C++ Editor"
"Views","Show View (History)","Shift+Alt+Q Z","In Windows"
"Navigate","Go to Line","Ctrl+X G","Editing Text"
"Text Editing","Text End","Ctrl+End","Editing Text"
"UML2 Sequence Diagram Viewer Commands","Scroll right","Shift+Alt+Right","UML2 Sequence Diagram Viewer"
"Refactor - C++","Rename - Refactoring ","Shift+Alt+R","In C/C++ Views"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"Navigate","Backward History","Alt+Left","In Windows"
"UML2 Sequence Diagram Viewer Commands","Scroll up","Shift+Alt+Up","UML2 Sequence Diagram Viewer"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"Text Editing","Delete Next Word","Esc D","Editing Text"
"Edit","Restore Last C/C++ Selection","Shift+Alt+Down","C/C++ Editor"
"Text Editing","Text End","Alt+>","Editing Text"
"Editor Commands","Organize Patches","Shift+Ctrl+O","Specfile Editor Context"
"Text Editing","Delete Line","Ctrl+D","Editing Text"
"pepticcategory","Extract Method...","Shift+Alt+T E","PyDev editor scope"
"PyDev - Editor","Select Enclosing Scope","Shift+Alt+Up","PyDev editor scope"
"Edit","Copy","Alt+W","In Dialogs and Windows"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"Reverse Debugging Commands","Reverse Step Over","Shift+F6","Debugging C/C++"
"Window","Previous View","Shift+Ctrl+F7","In Windows"
"Navigate","Open Resource","Ctrl+X Ctrl+F","In Windows"
"Text Editing","Previous Word","Alt+B","Editing Text"
"Source","Back","Alt+Left","In Macro Expansion Hover"
"PyDev - Editor","Deselect Enclosing Scope","Shift+Alt+Down","PyDev editor scope"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"PyDev - Editor","Python Format Code","Shift+Ctrl+F","PyDev editor scope"
"Run/Debug","Go to Address...","Ctrl+G","In Disassembly"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"Text Editing","Text Start","Ctrl+Home","Editing Text"
"Navigate","Open Remote Task","Shift+Ctrl+Alt+F12","In Windows"
"Task Repositories","Open Selected Task","Ctrl+Enter","In Tasks View"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"File","Save All","Ctrl+X S","In Windows"
"UML2 Sequence Diagram Viewer Commands","Show node end","Shift+Alt+End","UML2 Sequence Diagram Viewer"
"Text Editing","Line End","End","Editing Text"
"Task Repositories","Mark Task Read","Shift+Alt+R","In Tasks View"
"Source","Declaration","Ctrl+G","In C/C++ Views"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text"
"Navigate","Collapse All","Shift+Ctrl+Numpad_Divide","In Windows"
"Navigate","Open Task","Ctrl+F12","In Windows"
"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"File","Rename","F2","In Windows"
"pepticcategory","Inline Local Variable...","Shift+Alt+T I","PyDev editor scope"
"Makefile Source","Uncomment","Ctrl+\","Makefile Editor"
"Text Editing","Delete Previous Word","Alt+Backspace","Editing Text"
"Refactor - C++","Extract Function - Refactoring ","Shift+Alt+M","C/C++ Editor"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"Source","Sort Lines","Ctrl+Alt+S","C/C++ Editor"
"Source","Open Declaration","F3","C/C++ Editor"
"Navigate","Go To Next Unread Task","Alt+Down","In Tasks View"
"Text Editing","Move Lines Down","Alt+Down","Editing Text"
"Navigate","Quick Outline","Shift+Ctrl+O","Task Markup Editor Source Context"
"Text Editing","Delete Next","Ctrl+D","Editing Text"
"pepticcategory","Inline Local Variable...","Shift+Alt+I","PyDev editor scope"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Text Editing","Page Up","Alt+V","Editing Text"
"File","Close","Ctrl+W","In Windows"
"Run/Debug","Run","Ctrl+F11","In Windows"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows"
"Source","Show Source Quick Menu","Shift+Alt+S","C/C++ Editor"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"Window","Toggle Split Editor (Vertical)","Ctrl+{","In Windows"
"Uncategorized","Display Command","Shift+Ctrl+D","PyDev editor scope"
"File","Close All","Ctrl+X Ctrl+C","In Windows"
"File","Close","Ctrl+X K","In Windows"
"Text Editing","Line Up","Ctrl+P","Editing Text"
"PyDev - Editor","Show Python Class Hierarchy","F4","PyDev editor scope"
"Window","Activate Editor","F12","In Windows"
"Text Editing","Scroll Line Up","Esc Z","Editing Text"
"Text Editing","To Upper Case","Shift+Ctrl+X","Editing Text"
"Text Editing","Text End","Shift+Alt+>","Editing Text"
"Edit","Select All","Ctrl+X H","In Dialogs and Windows"
"Task Repositories","New Local Task","Insert","In Tasks View"
"PyDev - Editor","Previous Method or Class","Shift+Ctrl+Up","PyDev editor scope"
"Views","Show View (Console)","Shift+Alt+Q C","In Windows"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"PyDev - Editor","Python Toggle Comment","Ctrl+/","PyDev editor scope"
"Window","Previous Editor","Shift+Ctrl+F6","In Windows"
"Changelog","Insert ChangeLog entry","Ctrl+Alt+C","Editing Text"
"Navigate","Open Include Browser","Ctrl+Alt+I","C/C++ Editor"
"Navigate","Search Repository for Task","Shift+Ctrl+F12","In Windows"
"Navigate","Show In...","Shift+Alt+W","In Windows"
"Text Editing","Cut to Beginning of Line","Alt+0 Ctrl+K","Editing Text"
"File","Print","Alt+F9","In Windows"
"Task Repositories","New Subtask","Shift+Insert","In Tasks View"
"Source","Go to Matching Bracket","Shift+Ctrl+P","C/C++ Editor"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"Source","Comment/Uncomment","Ctrl+/","C/C++ Editor"
"Run/Debug","Step Return","F7","Debugging"
"Navigate","Previous Page","Shift+Alt+F7","In Windows"
"Window","Next Editor","Ctrl+F6","In Windows"
"Source","Show Tooltip Description","F2","Autoconf Editor"
"Source","Organize Includes","Shift+Ctrl+O","C/C++ Editor"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging C/C++"
"Source","References","Shift+Ctrl+G","In C/C++ Views"
"Text Editing","Next Word","Ctrl+T","Editing Text"
"Text Editing","Scroll Line Down","Ctrl+Z","Editing Text"
"UML2 Sequence Diagram Viewer Commands","Scroll left","Shift+Alt+Left","UML2 Sequence Diagram Viewer"
"Text Editing","Line Start","Ctrl+A","Editing Text"
"Window","Quick Switch Editor","Ctrl+E","In Windows"
"Navigate","Forward History","Alt+Right","In Windows"
"Reverse Debugging Commands","Reverse Step Into","Shift+F5","Debugging C/C++"
"Refactor - C++","Toggle Function - Refactoring ","Shift+Alt+T","C/C++ Editor"
"Source","Surround With Quick Menu","Shift+Alt+Z","C/C++ Editor"
"Focused UI","Focus on Active Task","Shift+Alt+H","In Windows"
"Window","Show Key Assist","Shift+Ctrl+L","In Dialogs and Windows"
"Task Repositories","Show Tooltip Description","F4","In Tasks View"
"Run/Debug","Previous Page of Memory","Shift+Ctrl+,","In Table Memory Rendering"
"Navigate","Go To Previous Unread Task","Alt+Up","In Tasks View"
"Text Editing","Recenter","Ctrl+L","Editing Text"
"pepticcategory","Extract Method...","Shift+Alt+M","PyDev editor scope"
"Run/Debug","Skip All Breakpoints","Ctrl+Alt+B","In Windows"
"Text Editing","Text Start","Ctrl+X [","Editing Text"
"pepticcategory","Generate Constructor using Fields...","Shift+Alt+T C","PyDev editor scope"
"Editor Commands","Show Outline","Ctrl+O","Specfile Editor Context"
"Views","Show View","Shift+Alt+Q Q","In Windows"
"PyDev - Editor","Add Single Comment Block","Shift+Ctrl+4","PyDev editor scope"
"Task Repositories","Mark Task Unread","Shift+Alt+U","In Tasks Editor"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Changelog","Format ChangeLog","Esc Ctrl+F","ChangeLog Editor"
"Edit","Quick Diff Toggle","Shift+Ctrl+Q","Editing Text"
"Task Repositories","Mark Task Read","Shift+Alt+R","In Tasks Editor"
"Text Editing","Delete Previous Word","Esc Backspace","Editing Text"
"Views","Show View (Error Log)","Shift+Alt+Q L","In Windows"
"Source","Add Block Comment","Shift+Ctrl+/","C/C++ Editor"
"Text Editing","To Lower Case","Shift+Ctrl+Y","Editing Text"
"PyDev - Editor","Python Uncomment","Ctrl+\","PyDev editor scope"
"PyDev - Editor","Python Organize Imports","Shift+Ctrl+O","PyDev editor scope"
"UML2 Sequence Diagram Viewer Commands","Show node start ","Shift+Alt+Home","UML2 Sequence Diagram Viewer"
"Text Editing","Line Down","Ctrl+N","Editing Text"
"Views","Show View (Variables)","Shift+Alt+Q V","In Windows"
"Edit","Undo","Ctrl+X U","In Windows"
"Edit","Toggle Block Selection","Shift+Alt+A","Editing Text"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Source","Go to Next Member","Shift+Ctrl+Down","C/C++ Editor"
"Text Editing","Set Mark","Ctrl+2","Editing Text"
"Project","Rebuild Last Target","F9","In Windows"
"Source","Explore Macro Expansion","Ctrl+#","C/C++ Editor"
"UML2 Sequence Diagram Viewer Commands","Scroll down","Shift+Alt+Down","UML2 Sequence Diagram Viewer"
"Edit","Shift Left","Shift+Tab","C/C++ Editor"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"Views","Show View (Search)","Shift+Alt+Q S","In Windows"
"Source","Forward","Alt+Right","In Macro Expansion Hover"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"Refactor - C++","Rename - Refactoring ","Shift+Alt+R","C/C++ Editor"
"Changelog","Prepare Changelog In Editor","Ctrl+Alt+P","Comparing in an Editor"
"Changelog","Prepare Changelog In Editor","Ctrl+Alt+P","Editing Text"
"Edit","Redo","Ctrl+X R","In Windows"
"Source","Go to Previous Member","Shift+Ctrl+Up","C/C++ Editor"
"PyDev - Editor","Find all references","Shift+Ctrl+G","PyDev editor scope"
"Text Editing","Next Column","Ctrl+F","Editing Text"
"Edit","Incremental Find","Ctrl+S","Editing Text"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"Edit","Context Information","Shift+Alt+?","In Windows"
"Edit","Toggle Insert Mode","Shift+Ctrl+Insert","Editing Text"
"Refactor - C++","Extract Local Variable - Refactoring ","Shift+Alt+L","C/C++ Editor"
"Project","Make Target Build","Shift+F9","In Windows"
"Text Editing","Previous Column","Ctrl+B","Editing Text"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Editing Text"
"Focused UI","Make Landmark","Shift+Ctrl+Alt+Up","In Windows"
"Run/Debug","Resume","F8","Debugging"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text"
"Task Repositories","Mark Task Read and Go To Previous Unread Task","Shift+Alt+Up","In Tasks View"
"Text Editing","Set Mark","Ctrl+Space","Editing Text"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"Refactor - C++","Extract Constant - Refactoring ","Alt+C","C/C++ Editor"
